City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Raudeberg,NO,61.9875,5.1352,53.96,61,96,14.23,overcast clouds
262,Virginia Beach,US,36.8529,-75.978,91.06,71,75,12.66,broken clouds
263,El Limon,VE,10.3059,-67.6321,79.92,73,75,3.27,broken clouds
264,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,12.66,clear sky
265,Fortuna,US,40.5982,-124.1573,72.93,74,75,11.5,broken clouds
266,Vangaindrano,MG,-23.35,47.6,63.7,92,2,3.49,clear sky
267,Altay,CN,47.8667,88.1167,65.03,46,9,5.53,clear sky
268,Tuy Hoa,VN,13.0833,109.3,75.2,88,100,16.6,light rain
269,Narsaq,GL,60.9167,-46.05,53.82,68,3,2.08,clear sky
270,Soe,ID,-9.8607,124.284,61.83,90,15,4.27,few clouds
271,Idar,DE,49.7167,7.3,66.29,56,14,4.21,few clouds
272,Gawler,AU,-34.6,138.7333,47.21,98,4,3.09,clear sky
273,Haines Junction,CA,60.7522,-137.5108,60.75,44,91,2.3,overcast clouds
274,Hami,CN,42.8,93.45,83.05,25,29,10.78,scattered clouds
275,Tarusa,RU,54.7233,37.1767,63.37,96,100,1.32,overcast clouds
276,Ixtepec,MX,16.5786,-95.1022,88.18,56,37,18.34,scattered clouds
277,May Pen,JM,17.9645,-77.2451,87.01,54,69,6.91,broken clouds
278,Biak,ID,-0.9131,122.8766,74.61,85,100,5.03,overcast clouds
279,Rocha,UY,-34.4833,-54.3333,43.84,88,92,5.37,overcast clouds
280,Kaa-Khem,RU,51.6833,94.7333,58.91,41,100,4.5,overcast clouds
281,Suntar,RU,62.1444,117.6319,52.23,82,75,2.89,broken clouds
282,Dekar,BW,-21.5333,21.9333,66.6,27,21,9.15,few clouds
283,Xuddur,SO,4.1213,43.8894,68.45,68,27,21.36,scattered clouds
284,Alamosa,US,37.4695,-105.87,82.38,26,20,6.91,few clouds
285,Conde,BR,-7.2597,-34.9075,74.66,83,20,6.91,few clouds
286,General Roca,AR,-39.0333,-67.5833,38.07,97,100,7.49,moderate rain
287,Gemlik,TR,40.4309,29.1597,72.45,90,1,5.77,clear sky
288,Fomboni,KM,-12.28,43.7425,75.27,68,0,5.32,clear sky
289,Picui,BR,-6.5106,-36.3469,69.48,86,40,13.85,scattered clouds
290,Thap Than,TH,15.4606,99.8917,74.95,94,100,3.6,moderate rain
291,Ilulissat,GL,69.2167,-51.1,46.42,81,100,4.61,overcast clouds
292,Abu Zabad,SD,12.35,29.25,77.68,73,93,7.27,overcast clouds
293,Chernyshevskiy,RU,63.0128,112.4714,47.7,97,100,1.88,overcast clouds
294,Kantunilkin,MX,21.0917,-87.45,89.17,52,79,7.0,broken clouds
295,La Palma,US,33.8464,-118.0467,106.66,40,40,12.66,scattered clouds
296,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
297,Sibu,MY,2.3,111.8167,73.71,94,40,5.01,scattered clouds
298,Xaxim,BR,-26.9617,-52.5347,57.58,100,100,0.85,overcast clouds
299,Tuatapere,NZ,-46.1333,167.6833,37.69,77,26,10.47,scattered clouds
300,Kutum,SD,14.2,24.6667,74.08,66,65,10.67,light rain
301,Hamamatsu,JP,34.7,137.7333,84.92,79,29,1.3,scattered clouds
302,Nicoya,CR,10.1483,-85.452,79.09,83,100,4.47,overcast clouds
303,Eravur,LK,7.7733,81.6095,79.38,63,94,8.72,overcast clouds
304,Sinegorye,RU,62.0788,150.477,67.62,54,6,2.59,clear sky
305,Tumsar,IN,21.3833,79.7333,78.03,91,100,1.95,moderate rain
306,Pokhara,NP,28.2333,83.9833,71.92,85,99,3.44,overcast clouds
307,Lompoc,US,34.6391,-120.4579,88.02,63,0,25.99,clear sky
308,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,68,75,13.8,broken clouds
309,Sabha,LY,27.0377,14.4283,86.02,19,0,12.03,clear sky
310,Tumbagaan,PH,5.3656,120.3139,78.49,82,100,5.19,overcast clouds
311,Killybegs,IE,54.6333,-8.45,56.79,88,53,8.21,broken clouds
312,Coahuayana,MX,18.7333,-103.6833,88.45,60,66,5.61,broken clouds
313,Constitucion,CL,-35.3333,-72.4167,50.36,84,19,9.62,few clouds
314,Camacha,PT,33.0833,-16.3333,67.42,78,40,11.5,scattered clouds
