City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Lasa,IT,67.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
235,Edgewater,US,91.54,scattered clouds,28.9889,-80.9023,Islander Beach Resort
236,Ziarat,PK,65.77,scattered clouds,30.3823,67.7282,Pakiza Guest House ziarat
237,Lazaro Cardenas,MX,85.96,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
238,Kavieng,PG,81.81,light rain,-2.5744,150.7967,Nusa Island Retreat
239,Bahia Blanca,AR,46.22,overcast clouds,-38.7196,-62.2724,Hotel Argos
240,Nanortalik,GL,45.09,clear sky,60.1432,-45.2371,Hotel Kap Farvel
241,Awjilah,LY,80.33,clear sky,29.1081,21.2869,المنزل
242,Lorengau,PG,82.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
243,Bengkulu,ID,74.44,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
245,Crewe,GB,62.38,few clouds,53.0979,-2.4416,Crewe Hall Hotel & Spa
246,Mendi,PG,55.83,overcast clouds,-6.1761,143.6513,Kiburu Lodge
247,Nemuro,JP,65.97,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
249,Mount Gambier,AU,40.96,few clouds,-37.8333,140.7667,The Commodore
250,Flagstaff,US,78.6,light rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
252,Kyshtovka,RU,56.86,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
253,San Quintin,MX,78.08,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
254,Kaohsiung,TW,81.03,scattered clouds,22.6163,120.3133,御宿商旅-中山館
255,Prigorodnyy,RU,69.96,clear sky,51.7661,55.2665,Hotel Rostoshi
256,Milkovo,RU,70.79,few clouds,54.7167,158.6167,"Hotel ""Geologist"""
257,Pisco,PE,66.25,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
259,Yeppoon,AU,49.78,clear sky,-23.1333,150.7333,Villa Mar Colina
260,North Myrtle Beach,US,87.3,few clouds,33.816,-78.68,Avista Resort
261,Raudeberg,NO,53.96,overcast clouds,61.9875,5.1352,Nordre Silda.
262,Virginia Beach,US,91.06,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
263,El Limon,VE,79.92,broken clouds,10.3059,-67.6321,Campamento Valle Beraca
264,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
265,Fortuna,US,72.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
266,Vangaindrano,MG,63.7,clear sky,-23.35,47.6,Hotel Fanilo
267,Altay,CN,65.03,clear sky,47.8667,88.1167,Jinqiao Hotel
268,Tuy Hoa,VN,75.2,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
269,Narsaq,GL,53.82,clear sky,60.9167,-46.05,Sleep In Narsaq
270,Soe,ID,61.83,few clouds,-9.8607,124.284,Dena Hotel
271,Idar,DE,66.29,few clouds,49.7167,7.3,Diamanthotel-Handelshof
272,Gawler,AU,47.21,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
273,Haines Junction,CA,60.75,overcast clouds,60.7522,-137.5108,Parkside Inn
274,Hami,CN,83.05,scattered clouds,42.8,93.45,Laoyutang Resort
275,Tarusa,RU,63.37,overcast clouds,54.7233,37.1767,Welna ECO SPA Resort
276,Ixtepec,MX,88.18,scattered clouds,16.5786,-95.1022,Hotel Express Inn Ixtepec
277,May Pen,JM,87.01,broken clouds,17.9645,-77.2451,Mus Com Bac
278,Biak,ID,74.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
